Abbruch	Abort
gc_neu	gc_new
gc_neu_pruefen	gc_new_check
gc_pause_max_typ	gc_pause_max_ty
gc_probe_typ	gc_probe_ty
gc_quelle_scan	gc_source_scan
gc_sammlung_args	gc_collection_args
gc_schwach_anzahl	gc_weak_count
gc_schwach_off	gc_weak_off
gc_schwach_pruefen	gc_weak_check
gc_set_cpu_uhr	gc_set_cpu_clock
gc_set_fin_uhr	gc_set_fin_clock
gc_set_inkr_ab	gc_set_incr_ab
gc_set_lokal	gc_set_local
gc_set_scheibe	gc_set_slice
gc_set_zeitbudget	gc_set_time_budget
gc_sperre_wartungen	gc_lock_maintenance
gc_stapel_saeubern	gc_stack_clean
gc_stark_anzahl	gc_strong_count
gc_stark_off	gc_strong_off
gc_stw_arbeit_max	gc_stw_work_max
gc_stw_laeufe	gc_stw_runs
gc_stw_warte_max	gc_stw_wait_max
gc_tabelle	gc_table
gc_typ_arg	gc_ty_arg
gc_typ_haken	gc_ty_hook
gc_ueberlaeufe	gc_overflows
gc_union_setzen	gc_union_set
gc_volle_laeufe	gc_full_runs
gc_weak_genullt	gc_weak_zeroed
gc_wort	gc_word
gc_wurzel_abmelden	gc_root_unregister
gc_wurzel_anmelden	gc_root_register
gc_wurzeln	gc_roots
gc_zustandsname	gc_state_name
gckern	gccore
gcmap_entfernen	gcmap_remove
gcmap_groesse	gcmap_size
gcmap_hat	gcmap_has
gcmap_holen	gcmap_get
gcmap_holen_wert	gcmap_get_value
gcmap_kapazitaet	gcmap_capacity
gcmap_leeren	gcmap_clear
gcmap_neu	gcmap_new
gcmap_platz_belegt	gcmap_slot_used
gcmap_platz_schluessel	gcmap_slot_key
gcmap_platz_wert	gcmap_slot_value
gcmap_platz_wert_als	gcmap_slot_value_as
gcmap_setzen	gcmap_set
gcmap_setzen_wert	gcmap_set_value
gcneu	gcnew
gctext_schreiben	gctext_write
gcvec_abhaengen	gcvec_detach
gcvec_abhaengen_roh	gcvec_detach_raw
gcvec_anhaengen	gcvec_append
gcvec_anhaengen_roh	gcvec_append_raw
gcvec_entfernen	gcvec_remove
gcvec_finden	gcvec_find
gcvec_finden_roh	gcvec_find_raw
gcvec_kapazitaet	gcvec_capacity
gcvec_laenge	gcvec_length
gcvec_leeren	gcvec_clear
gcvec_lesen	gcvec_read
gcvec_lesen_roh	gcvec_read_raw
gcvec_neu	gcvec_new
gcvec_neu_roh	gcvec_new_raw
gcvec_platz	gcvec_slot
gcvec_setzen	gcvec_set
gcvec_setzen_roh	gcvec_set_raw
gebunden	bound
gefaedelt	threaded
gefangen	caught
gefangen_len	caught_len
gefuellt	filled
gefunden	found
geheimer_wert_bleibt_unberuehrt	secret_value_stays_untouched
gelaufen	ran
gelesen	read
gemeldet_bis	reported_to
gemerkt	remembered
gemischt	mixed
gen_auspraegung	gen_instance
gen_erzeugt	gen_generated
gen_fehler	gen_error
gen_fn_anzahl	gen_fn_count
gen_fn_vorlage	gen_fn_template
gen_frei	gen_free
gen_if_setzen	gen_if_set
gen_in_vorlage	gen_in_template
gen_inst_anzahl	gen_inst_count
gen_ist_fn	gen_is_fn
gen_ist_struct	gen_is_struct
gen_lauf	gen_run
gen_neu	gen_new
gen_schranke	gen_bound
gen_struct_anzahl	gen_struct_count
gen_struct_vorlage	gen_struct_template
gen_summe	gen_sum
gen_tiefe_auf	gen_depth_on
gen_tiefe_zu	gen_depth_zu
gen_tp_anfang	gen_tp_start
gen_tp_dazu	gen_tp_add
gen_tp_doppelt	gen_tp_duplicate
gen_tp_schranke_dazu	gen_tp_bound_add
gen_vorab	gen_upfront
generisch	generic
geprueft	checked
geprueft_werden_name_version_pfad	checked_become_name_version_path
gerade	even
ges	total
gesamt	total
geschaltet	switched
geschlossen	closed
geschrieben	written
gesehen	seen
gesendet	sent
gesetzt	set
gesichert	saved
gesperrtes_register_wird_benannt	locked_register_becomes_named
getroffen	hit
gewicht	weight
gezaehlt	counted
gfehl	gerr
gibtesnicht	does_not_exist
gleich	equal
gleich_ohne_fall	equal_without_case
gleiche	same
gleiche_datei	same_file
gleit_langsam	float_slow
gleit_wert	float_value
gleitwechsel	floatswitch
glied	member
gnamen	gnames
grab	tombstone
grenze	limit
grenzen	limits
griff	handle
groesse	size
groesse_anfordern	size_request
groesse_von	size_of
groesser	greater
groesster	largest
gross	big
gross_hier	big_here
gross_zeichen	big_char
grosse_structs_ueber_speicher	big_structs_over_memory
grstellen	grdigits
grund	basic
grund_ausdruck	basic_expr
grund_mal	basic_times
grundtyp	base_ty
grundtyp_name	base_ty_name
grundtyp_von_name	base_ty_of_name
gruss	greeting
gueltig	valid
gut	good
h_abhdop	h_dep_dup
h_mehrfach	h_multi
h_oeffdop	h_open_dup
h_pfad	h_path
h_selbst	h_self
haenge_an	hang_an
haengen_map	hang_map
haengen_vec	hang_vec
halb	half
halbiere	halve
hallo	hello
hallo_c	hello_c
halter	holder
hat	has
hat_allocerror	has_allocerror
hat_catchall	has_catchall
hat_errdefer	has_errdefer
hat_f	has_f
hat_fadenarbeit	has_thread_work
hat_fe	has_fe
hat_finalisierer	has_finalizer
hat_gc	has_gc
hat_gen	has_gen
hat_hin	has_to
hat_if	has_if
hat_interrupt	has_interrupt
hat_key	has_key
hat_klassen	has_classes
hat_mu	has_mu
hat_name	has_name
hat_no_gc	has_no_gc
hat_no_gc_erkennt_das_attribut	has_no_gc_recognizes_the_attr
hat_praefix	has_prefix
hat_pubid	has_pubid
hat_schnittstellen	has_interfaces
hat_self	has_self
hat_start	has_start
hat_sysid	has_sysid
hat_type_attribut	has_type_attr
hat_version	has_version
hat_w	has_w
hat_zeit	has_time
hat_ziel	has_target
hatte	had
haupt	main
heap_allokationen	heap_allocations
heap_frei	heap_free
heap_freigaben	heap_releases
heap_lebende	heap_live
heap_leer	heap_empty
hebbare_op	hoistable_op
hebe_aus	hoist_out
heiss	hot
hex_fest	hex_fixed
hex_ziffer	hex_digit
hexwert	hex_value
hier	here
hilf	help
hilfe	help
hin	to
hin_len	to_len
hin_n	to_n
hinten	back
hinweis	note
hist_aus	hist_out
hoch	high
hoechst	highest
hoehe	height
hook_methode	hook_method
hook_methodenaufruf	hook_method_call
i_a_von	i_a_of
i_alen_von	i_alen_of
i_aoff_von	i_aoff_of
i_art	i_kind
i_art_von	i_kind_of
i_b_von	i_b_of
i_c_von	i_c_of
i_dst_von	i_dst_of
i_pfad	i_path
i_ty_von	i_ty_of
i_zahl	i_number
i_zahl_von	i_number_of
if_anmelden	if_register
if_anweisung	if_stmt
if_anzahl	if_count
if_bisher	if_sofar
if_dazu	if_add
if_fehler	if_error
if_frei	if_free
if_hat	if_has
if_ist_dyn_name	if_is_dyn_name
if_methode_dazu	if_method_add
if_nennt_self	if_names_self
if_neu	if_new
if_pruefen	if_check
if_tafel	if_table
if_tafeln	if_tables
if_u_anzahl	if_u_count
if_u_prae	if_u_pre
if_umsetzung_da	if_impl_da
if_umsetzung_dazu	if_impl_add
if_umsetzung_ok	if_impl_ok
if_von_dyn	if_of_dyn
imp_anzahl	imp_count
imp_dazu	imp_add
imp_pfad	imp_path
impl_deklaration	impl_decl
impl_ende	impl_end
implizit_schliessen	implizit_close
implizit_schliessen_gruendlich	implizit_close_thorough
import_deklaration	import_decl
imports_sammeln	imports_collect
imports_werden_gefunden	imports_become_found
in_body_ende	in_body_end
in_schleife	in_loop
index_aus_aufruf	index_out_call
index_typ	index_ty
index_von	index_of
info_zeile	info_line
infotext_ist_rein_lexikalisch	infotext_is_pure_lexical
inhalt	content
inkl	incl
innen	inner
innen_a	inner_a
innen_ausdruck	inner_expr
innen_b	inner_b
innen_merken	inner_remember
innen_y	inner_y
inst_anlegen	inst_create
inst_anzahl	inst_count
inst_bei	inst_at
inst_dazu	inst_add
inst_finden	inst_find
inst_umschreiben	inst_rewrite
inst_void_dazu	inst_void_add
int_anstehend	int_pending
interface_deklaration	interface_decl
intern_anzahl	intern_count
intern_finde	intern_find
intern_frei	intern_free
intern_gleich	intern_equal
intern_laenge	intern_length
intern_neu	intern_new
intern_nummer	intern_number
intern_praefix	intern_prefix
intern_wachse	intern_grow
intern_zeiger	intern_ptr
interne_namen_loesen_keinen_fehler_aus	internal_names_solve_no_error_out
interne_namen_sind_gc_allokationen	internal_names_are_gc_allocations
interp_ausdruck	interp_expr
interrupt_endet_mit_iretq	interrupt_ends_with_iretq
interrupt_kann_nicht_gerufen_werden	interrupt_can_not_called_become
invariante_multiplikation_wandert_in_den_vorkopf	invariant_multiplication_moves_in_the_preheader
is_atomar_call	is_atomic_call
ist	actual
ist_abs	is_abs
ist_aggregat	is_aggregate
ist_alloc	is_alloc
ist_alnum	is_alnum
ist_alphanumerisch	is_alphanumeric
ist_arr	is_arr
ist_ascii_alpha	is_ascii_alpha
ist_asm	is_asm
ist_aufwaerts	is_upward
ist_aussenpfad	is_outer_path
ist_blockgruppe	is_block_group
ist_bool	is_bool
ist_buchst	is_letter
ist_buchstabe	is_letter
ist_cdata	is_cdata
ist_class	is_class
ist_datei	is_file
ist_dd	is_dd
ist_doctype	is_doctype
ist_dyn	is_dyn
ist_dyn_typ	is_dyn_ty
ist_eigen	is_own
ist_endlich	is_finite
ist_erg	is_res
ist_f64	is_f64
ist_faden_call	is_thread_call
ist_fehler	is_error
ist_fn	is_fn
ist_folgeoktett	is_cont_byte
ist_formatierung	is_formatting
ist_fp	is_fp
ist_ganzzahl	is_int
ist_gc	is_gc
ist_gc_alloc_aufruf	is_gc_alloc_call
ist_gc_class	is_gc_class
ist_gc_ptr	is_gc_ptr
ist_gc_weak	is_gc_weak
ist_gc_zeiger	is_gc_ref
ist_gerade	is_even
ist_gnull	is_gnull
ist_grossbuchstabe	is_upper_letter
ist_grundtyp_methode	is_base_ty_method
ist_hexziffer	is_hex_digit
ist_hoch_surrogat	is_high_surrogate
ist_impl	is_impl
ist_impl_bei	is_impl_at
ist_innenpfad	is_inner_path
ist_innenpfad_b	is_inner_path_b
ist_int	is_int
ist_interface	is_interface
ist_interface_bei	is_interface_at
ist_interner_name	is_interner_name
ist_kernel	is_kernel
ist_klasse	is_class
ist_kleinbuchstabe	is_lower_letter
ist_leer	is_empty
ist_leerraum	is_whitespace
ist_lokal	is_local
ist_mc	is_mc
ist_methodenruf	is_method_call
ist_modul	is_module
ist_nachfahre	is_descendant
ist_name	is_name
ist_name_b	is_name_b
ist_name_start	is_name_start
ist_name_weiter	is_name_next
ist_nan	is_nan
ist_nichtzeichen	is_non_char
ist_nogc	is_nogc
ist_oeffentlich	is_public
ist_oom	is_oom
ist_p	is_p
ist_platz	is_slot
ist_public	is_public
ist_quadrat	is_square
ist_rahmen	is_frame
ist_reg	is_reg
ist_reg64	is_reg64
ist_self	is_self
ist_skalar	is_scalar
ist_space	is_space
ist_speziell	is_special
ist_st	is_st
ist_steuerzeichen_ref	is_control_char_ref
ist_str_bei	is_str_at
ist_system	is_system
ist_terminiert	is_terminated
ist_text	is_text
ist_tief_surrogat	is_deep_surrogate
ist_trenner	is_sep
ist_type	is_type
ist_u64_zeiger	is_u64_ptr
ist_ueberschrift	is_heading
ist_unendlich	is_infinite
ist_ungerade	is_odd
ist_version	is_version
ist_version_b	is_version_b
ist_verwandt	is_related
ist_vorz	is_sign
ist_vorzeichen	is_sign
ist_w	is_w
ist_weak	is_weak
ist_wnull	is_wnull
ist_wort	is_word
ist_z	is_z
ist_zeiger	is_ptr
ist_zeilenende	is_line_end
ist_ziffer	is_digit
ist_zweierpotenz	is_pow_two
iv_abstrakt	iv_abstract
iv_basis	iv_base
izahl	inum
jcc_invers	jcc_inverse
k_basis	k_base
k_brauche	k_need
k_fertig	k_done
k_oeff	k_open
k_paket	k_package
k_quelle	k_source
k_typ	k_ty
k_wert	k_value
k_wurzel	k_root
k_zeiger	k_ptr
kand	cand
kandidaten	candidates
kann_schiefgehen	can_gowrong
kante	edge
kanten	edges
kap	cap
kap_res	cap_res
kap_vorher	cap_before
kapazitaet	capacity
kaputt	broken
karten_bauen	maps_build
karten_summe	maps_sum
karten_umhaengen	maps_relink
kein_haenger_bei_abbruch	no_hanger_at_abort
kein_slit	no_slit
keine	no
kennung	id
kennzahlen	metrics
kern	core
kern_start	core_start
kernel_flagge	kernel_flag
kernel_verbietet_gleitkomma_ohne_attribut	kernel_forbids_float_without_attr
kernel_verbietet_syscall_und_nennt_es	kernel_forbids_syscall_and_names_es
kette	chain
kette_aus_cpbuf	chain_out_cpbuf
kette_aus_strom	chain_out_stream
kette_bauen	chain_build
kette_beginnt_ascii_klein	chain_starts_ascii_small
kette_bei	chain_at
kette_cp	chain_cp
kette_ende	chain_end
kette_gleich	chain_equal
kette_gleich_ascii	chain_equal_ascii
kette_gleich_ascii_klein	chain_equal_ascii_small
kette_innen	chain_inner
kette_laenge	chain_length
kette_leer	chain_empty
kette_len	chain_len
kette_nach_buf	chain_after_buf
kette_nach_cpbuf	chain_after_cpbuf
kette_neu	chain_new
kette_pruefen	chain_check
kette_push	chain_push
kette_push_cpbuf	chain_push_cpbuf
kette_wird_bis_zum_fixpunkt_gefaltet	chain_becomes_to_to_fixpunkt_folded
ketten_probe	chains_probe
kind_anfang	child_start
kind_anhaengen	append_child
kind_anzahl	child_count
kind_at	child_at
kind_bei	child_at
kind_dazu	child_add
kind_einfuegen_vor	kind_insert_before
kind_entfernen	kind_remove
kinder	children
kinder_umhaengen	relink_children
kladde	scratch
klammer	paren
klammern	parens
klasse	class
klasse_aus_as	class_out_as
klasse_aus_neu	class_out_new
klasse_info	class_info
klasse_von	class_of
klasse_von_struct	class_of_struct
klassen	classes
klein	small
klein_hier	small_here
klein_zeichen	small_char
kleine_structs_in_registern	small_structs_in_registers
kleiner	less
kleiner_als_null	less_as_null
kleiner_aufruf_wird_eingebettet_und_gefaltet	less_call_becomes_embedded_and_folded
kleineres	smaller
kleinstes_gueltiges_manifest	smallest_valid_manifest
knapp_unter_halb	tight_under_half
knoten	node
knotenX	nodeX
knoten_als_element	node_as_elem
knoten_einfuegen	node_insert
knoten_idx	node_idx
knoten_in_scope	node_in_scope
knoten_index	node_index
knoten_ist_element	node_is_elem
knoten_je_runde	node_je_round
knoten_schreiben	node_write
knoten_tiefe	node_depth
knoten_vorfahr_ist	node_ancestor_is
knoten_zaehlen	node_count
koepfe	headers
koerper	body
koerper_bb	body_bb
komma	comma
komma_c	comma_c
komma_wenn_noetig	comma_if_needed
kommas	commas
kommentar_einfuegen	comment_insert
kommentar_neu	comment_new
kommentare_leerzeilen_tabulatoren	comments_blank_lines_tabs
kommentare_verschachtelt	comments_nested
konkret	concrete
konst	constant
konst_anzahl	const_count
konst_auswerten	const_eval
konst_dazu	const_add
konst_name	const_name
konst_suchen	const_search
konst_typ	const_ty
konst_wert	const_value
kopf	header
kopf_addr	header_addr
kopf_signatur	header_signature
kopf_zeile	header_line
kopie	copy
kopie_wert	copy_value
kopiere_anweisung	copy_stmt
kopiere_ausdruck	copy_expr
kopiere_block	copy_block
kopiere_felder	copy_fields
kopiere_kinder	copy_children
kreis	circle
krumm	crooked
kurz	short
kurzschluss	short_circuit
kurzschluss_erzeugt_verzweigung	short_circuit_generated_branch
l_tiefe	l_depth
lade	load
lade_slot	load_slot
lade_wert	load_value
lade_xmm	load_xmm
laen	len
laenge	length
laenge_von	length_of
laengen	lengths
laeufe	runs
laeuft	runs
lang	long
langsam	slow
lauf	run
lauf_baum	run_tree
lauf_baum_loslassen	run_tree_release
lauf_dokument	run_document
lauf_dokument_bauen	run_document_build
lauf_frei	run_free
lauf_init	run_init
lauf_namen	run_names
lauf_neu	run_new
lauf_text	run_text
lauf_text_aus_bytes	run_text_out_bytes
laufen	run
laufzeit	runtime
laufzeit_aktiv	runtime_active
laufzeit_enthaelt_die_pflichtnamen	runtime_contains_the_required_names
laufzeit_merken	runtime_remember
laufzeit_quelle	runtime_source
laufzeit_reset	runtime_reset
layout_ist_vertrag	layout_is_contract
layout_kanon	layout_canon
layout_tag_und_nutzdaten	layout_tag_and_payload
ld_pfad	ld_path
lea_moeglich	lea_possible
lea_summe	lea_sum
leb	live
lebbytes	live_bytes
lebend	live
lebende	live
lebende_hand	live_hand
lebende_weak	live_weak
lebendmenge	live_set
lebt	lives
leck	leak
leer	empty
leer_consts	empty_consts
leer_typen	empty_types
leer_v	empty_v
leere_bloecke_werden_verschmolzen	empty_blocks_become_merged
leeren	clear
leeres_element	empty_elem
leeres_hauptprogramm	empty_main_program
leerz	blank
lege_aus	put_out
lesbar	readable
lesezeichen	bookmark
let_anweisung	let_stmt
letzt_name	last_name
letzt_start	last_start
letzt_ver	last_ver
letzte	last
letzter	last
letzterX	lastX
letzter_bool_store	last_bool_store
letzter_starttag	last_starttag
letztes	last
letztes_attr	last_attr
letztes_doppelt	last_duplicate
letztes_kind	last_child
lex_anzahl	lex_count
lex_art	lex_kind
lex_fehler	lex_error
lex_frei	lex_free
lex_ganzzahl	lex_int
lex_gleit_langsam	lex_float_slow
lex_gleit_rest	lex_float_rest
lex_laenge	lex_length
lex_lauf	lex_run
lex_lit_art	lex_lit_kind
lex_lit_einheit	lex_lit_unit
lex_name_laenge	lex_name_length
lex_name_zeiger	lex_name_ptr
lex_namen	lex_names
lex_namen_setzen	lex_names_set
lex_neu	lex_new
lex_spalte	lex_col
lex_zahl	lex_number
lex_zeichen	lex_char
lex_zeile	lex_line
lgrenze	llimit
liegt_in	read_within
lies	read
lies_datei	read_file
lies_f64	read_f64
lies_f64_bits	read_f64_bits
lies_fd	read_fd
lies_i64	read_i64
lies_stdin	read_stdin
lies_u32	read_u32
lies_u64	read_u64
lies_u64_basis	read_u64_base
lies_u_escape	read_u_escape
links	left
liste	list
liste_ablegen	list_store
liste_anhaengen	list_append
lit_art	lit_kind
lit_auf	lit_on
lit_melde	lit_report
lit_nach_buf	lit_after_buf
lk_chunk_neu	lk_chunk_new
lk_halten	lk_hold
lk_heap_neu	lk_heap_new
lk_lassen	lk_let
lk_satz_bauen	lk_set_build
lk_setz	lk_set
load_nach_store_wird_im_block_weitergeleitet	load_after_store_becomes_im_block_forwarded
lok_auf	loc_on
lok_dazu	loc_add
lok_zu	loc_zu
lokal	local
low_fe_setzen	low_fe_set
low_fehler	low_error
low_frei	low_free
low_gc_setzen	low_gc_set
low_if_setzen	low_if_set
low_lauf	low_run
low_mu_setzen	low_mu_set
low_neu	low_new
low_ungeeignet	low_unsuitable
lower_atomar_call	lower_atomic_call
lower_defers_bis	lower_defers_to
lower_faden_call	lower_thread_call
lower_shortcircuit	lower_short_circuit
lower_versand	lower_dispatch
lwert	lvalue
m_auf	m_on
m_aus	m_out
m_beides	m_both
m_hin	m_to
m_lesen	m_read
m_melde	m_report
m_nach_body	m_after_body
m_nach_frameset	m_after_frameset
m_nach_head	m_after_head
m_nach_nach_body	m_after_after_body
m_nach_nach_frameset	m_after_after_frameset
m_nicht	m_not
m_ohne_paket	m_without_package
m_ohne_ver	m_without_ver
m_pfeil	m_arrow
m_vor_head	m_before_head
m_vor_html	m_before_html
m_zahl	m_number
m_zeichen	m_char
m_zyk	m_cycle
mach_gross	make_big
mach_mittel	make_mid
mach_p	make_p
mach_r	make_r
mag	likes
mal	times
male	times
manifest_lesen	manifest_read
map_aufraeumen	map_cleanup
map_erhoehen	map_increase
map_erstes	map_first
map_finde	map_find
map_frei	map_free
map_hat	map_has
map_hol	map_get
map_hol_oder	map_get_or
map_hol_wenn	map_get_if
map_ist_leer	map_is_empty
map_kap	map_cap
map_leeren	map_clear
map_loeschen	map_delete
map_naechster	map_next
map_nehmen	map_take
map_neu	map_new
map_platz_belegt	map_slot_used
map_platz_schluessel	map_slot_key
map_platz_wert	map_slot_value
map_roh_setzen	map_raw_set
map_setzen	map_set
map_setzen_wenn_neu	map_set_if_new
map_tot	map_dead
map_wachse	map_grow
map_wert_adresse	map_value_address
marke	mark
marke_modus	mark_mode
marke_neu	mark_new
marke_rang	mark_rank
markensumme	mark_sum
markiert	marked
markierung	marking
maske	mask
maskierungen	maskings
match_anweisung	match_stmt
match_pruefen	match_check
mathe	math
max_ende	max_end
mc_anstehend	mc_pending
meckern	complain
mehrdeutig	ambiguous
mehrere_fehler_werden_gemeldet	several_error_become_reported
mehrere_rueckgaben_bleiben_korrekt	several_rets_stay_correct
mehrfach	multi
mehrfach_geschriebene_alloca_bleibt_stehen	multi_written_alloca_stays_stand
mein_paket	my_package
meine	my
melde	report
meldung	message
menge	set
merke	remember
merke_umsetzung	remember_impl
mess	meas
mess_i64	meas_i64
mess_jetzt_ms	meas_now_ms
mess_nl	meas_nl
mess_rss_kib	meas_rss_kib
mess_schreib	meas_write
mess_seitengroesse	meas_page_size
mess_tab	meas_tab
mess_u64	meas_u64
mess_zeichen	meas_char
methode	method
methoden	methods
methoden_deklaration	methods_decl
methoden_ruf	methods_call
methoden_sig	methods_sig
methoden_von	methods_of
methodenfunktion	method_func
methodenfunktion_l	method_func_l
methodenkopf	method_head
methodenname	method_name
methodenpraefix	method_prefix
methodenrufname	method_call_name
mindest	min
mindestens	atleast
misch	mix
mische	mix
mit_break	with_break
mit_fadenarbeit	with_thread_work
mit_fehler	with_error
mit_fehlermenge	with_error_set
mit_fin	with_fin
mit_finalisierer	with_finalizer
mit_finalisierern	with_finalizers
mit_fn_vorlage	with_fn_template
mit_mut	with_mut
mit_return	with_return
mit_sammlungen	with_collections
mit_semikolon	with_semicolon
mit_struct_vorlage	with_struct_template
mitte	mid
mittel	mid
mittel_wert	mid_value
ml_anzahl	ml_count
ml_dazu	ml_add
ml_frei	ml_free
ml_kennt	ml_knows
ml_laenge	ml_length
ml_namensdoppel	ml_name_dup
ml_neu	ml_new
ml_zeiger	ml_ptr
mmio_breite	mmio_width
mmio_lesen_breite	mmio_read_width
mmio_pruefen	mmio_check
mmio_schreiben_breite	mmio_write_width
mmio_typ	mmio_ty
mmio_zugriffe_werden_nicht_zusammengelegt	mmio_accesses_become_not_merged
modul	module
modul_bleibt_uebersetzbar	module_stays_compilable
modul_pfad	module_path
module_vorab	module_upfront
modulname	module_name
modulname_wird_lesbar_gemeldet	module_name_becomes_readable_reported
modulpfad	module_path
modus	mode
moeglicher	possible
mpfad	mpath
mquelle	msource
mu_art	mu_kind
mu_kinder	mu_children
muell	garbage
muell_erzeugen	garbage_gen
mul_ausdruck	mul_expr
mus_a_block	pat_a_block
mus_a_pat	pat_a_pat
mus_anmelden	pat_register
mus_arm_dazu	pat_arm_add
mus_e_ausricht	pat_e_align
mus_e_groesse	pat_e_size
mus_e_name	pat_e_name
mus_e_sidx	pat_e_sidx
mus_e_vlen	pat_e_vlen
mus_e_voff	pat_e_voff
mus_enum_anzahl	pat_enum_count
mus_enum_bei_struct	pat_enum_at_struct
mus_enum_dazu	pat_enum_add
mus_enum_finden	pat_enum_find
mus_fehler	pat_error
mus_frei	pat_free
mus_ist_ctorname	pat_is_ctorname
mus_ist_matchname	pat_is_matchname
mus_kind_dazu	pat_child_add
mus_kinder_anfang	pat_children_start
mus_layout	pat_layout
mus_m_alen	pat_m_alen
mus_m_aoff	pat_m_aoff
mus_m_subj	pat_m_subj
mus_match_anzahl	pat_match_count
mus_match_dazu	pat_match_add
mus_match_nummer	pat_match_number
mus_mu_a	pat_mu_a
mus_mu_art	pat_mu_kind
mus_mu_b	pat_mu_b
mus_mu_dazu	pat_mu_add
mus_mu_hi	pat_mu_hi
mus_mu_kind	pat_mu_child
mus_mu_lo	pat_mu_lo
mus_mu_slen	pat_mu_slen
mus_mu_soff	pat_mu_soff
mus_neu	pat_new
mus_rf_off	pat_rf_off
mus_rf_typ	pat_rf_ty
mus_unanfechtbar	pat_irrefutable
mus_v_name	pat_v_name
mus_v_roff	pat_v_roff
mus_v_tag	pat_v_tag
mus_v_tlen	pat_v_tlen
mus_variante_dazu	pat_variant_add
mus_variante_finden	pat_variant_find
mus_vt_anfang	pat_vt_start
mus_vt_dazu	pat_vt_add
muster	pattern
muster_binden	pattern_bind
muster_ganzzahl	pattern_int
muster_pruefen	pattern_check
muster_tests	pattern_tests
mverz	mdir
n_emit_roh	n_emit_raw
n_emit_zahl	n_emit_number
n_groesse	n_size
nach	after
nach_attr	after_attr
nach_ausdruck	after_expr
nach_gross	after_big
nach_klein	after_small
nachher	after
nachschlagen	lookup
nachtrag	addendum
nachtrag_meldet_doppelte_deklaration	addendum_reports_duplicate_decl
nachtrag_wird_genauso_streng_geprueft	addendum_becomes_likewise_strict_checked
naechste	next
naechste_zweierpotenz	next_pow_two
naechster	next
naechstes	next
naeher_als	closer_as
nahe	near
naktiv	nactive
name_aus	name_out
name_gleich	name_equal
name_kleiner	name_less
name_laenge	name_length
name_nach_buf	name_after_buf
name_praefix	name_prefix
name_von	name_of
namen	names
namen_anzahl	names_count
namen_extern	names_extern
namen_finde_bytes	names_find_bytes
namen_frei	names_free
namen_gleich_ascii	names_equal_ascii
namen_init	names_init
namen_laenge	names_length
namen_nach_cpbuf	names_after_cpbuf
namen_neu	names_new
namen_ptr	names_ptr
namen_von_bytes	names_of_bytes
namen_von_cp	names_of_cp
namen_werden_je_modul_verschieden	names_become_je_module_different
natuerliche_schleife	natural_loop
nbasis	nbase
negativ	negative
nein	no
nennt_self	names_self
neu	new
neu_kap	new_cap
neu_kreis	new_circle
neu_nr	new_nr
neu_off	new_off
neu_quadrat	new_square
neue_zelle	new_cell
neuer_block	new_block
neuer_knoten	new_node
neuer_stil	new_style
neuer_typ	new_ty
neuer_wert	new_value
neues	new
neukap	newcap
neun	nine
nicht_kern	not_core
nicht_umgesetzte_attribute_melden_weiter_einen_fehler	not_implemented_attribute_report_next_a_error
nicht_umgesetzter_typ	not_implemented_ty
nichts	nothing
nimm	take
nimm_punkt	take_dot
nimm_u8	take_u8
nl_ueberspringen	nl_skip
nmaske	nmask
nnach	n_after
noetig	needed
noffen	n_open
nogc_anstehend	nogc_pending
nogc_heiss	nogc_hot
nogc_kalt	nogc_cold
nogc_pruefen	nogc_check
normalisiere	normalize
npos_ganz_gesetzt	npos_whole_set
null_dahinter	null_behind
null_ersatz	null_replacement
null_feld	null_field
numerisch_abbilden	numeric_map
numerische_referenz	numeric_reference
nummer	tok_nr
nur_fehler	only_error
nur_gleich	only_equal
nur_must_consume_ist_umgesetzt	only_must_consume_is_implemented
nur_objekt	only_object
nur_zaehlen	only_count
nutz	payload
nutzlast	payload
nvor	n_before
oben	top
objekt	object
oder_ausdruck	or_expr
oeffentlich	public
oeffne	open
offen	open
offener_blockkommentar_meldet_und_endet	open_block_comment_reports_and_ends
ohne	without
ohne_cr	without_cr
ohne_klassen_ist_kein_typ_ein_gc_zeiger	without_classes_is_no_ty_in_gc_ptr
ohne_praefix	without_prefix
ohne_suffix	without_suffix
okt	oct
oktette	bytes
op_hat_f64	op_has_f64
operatoren_maximal_lang	operators_max_long
ordnung	order
ort	place
out_fehlerliste	out_error_list
out_fehlername	out_error_name
out_wort	out_word
p_einheiten	p_units
p_gescannt	p_scanned
p_mpfad	p_mpath
p_nur_bmp	p_only_bmp
p_schliessen	p_close
p_typ	p_ty
p_typ_von	p_ty_of
p_wurzel	p_root
p_zeile	p_line
p_zeilenstart	p_line_start
pa_typ	pa_ty
paar	pair
paar_kleiner	pair_less
paar_neu	pair_new
paare	pairs
paket	package
paket_info	package_info
paket_kandidat	package_candidate
paket_von	package_of
paket_von_datei	package_of_file
pakete	packages
paketname	package_name
paketwelt	package_world
par_baum	par_tree
par_baum_uebernehmen	par_tree_take
par_fe_setzen	par_fe_set
par_fehler	par_error
par_frei	par_free
par_gc_setzen	par_gc_set
par_gen_setzen	par_gen_set
par_if_setzen	par_if_set
par_lauf	par_run
par_mu_setzen	par_mu_set
par_neu	par_new
par_neu_modul	par_new_module
par_nicht_kern	par_not_core
par_zeit_setzen	par_time_set
parallele_reg_bewegungen	parallel_reg_moves
param_anfang	param_start
